,InstrumentID,days,InstrumentDisplayName,Symbol
0,1,23.0,EUR/USD,EURUSD
1,2,23.0,GBP/USD,GBPUSD
2,3,23.0,NZD/USD,NZDUSD
3,4,22.0,USD/CAD,USDCAD
4,5,21.0,USD/JPY,USDJPY
5,6,20.0,USD/CHF,USDCHF
6,7,22.0,AUD/USD,AUDUSD
7,8,25.0,EUR/GBP,EURGBP
8,9,23.0,EUR/CHF,EURCHF
9,10,19.0,EUR/JPY,EURJPY
10,11,22.0,GBP/JPY,GBPJPY
11,12,22.0,EUR/AUD,EURAUD
12,13,18.0,EUR/CAD,EURCAD
13,14,19.0,AUD/JPY,AUDJPY
14,15,23.0,CAD/JPY,CADJPY
15,16,25.0,CHF/JPY,CHFJPY
16,17,17.0,Oil,OIL
17,18,24.0,Gold,GOLD
18,19,24.0,Silver,SILVER
19,27,23.0,SPX500,SPX500
20,28,22.0,NSDQ100 NAS,NSDQ100
21,29,20.0,DJ30,DJ30
22,30,17.0,UK100,UK100
23,31,18.0,FRA40,FRA40
24,32,21.0,GER30,GER30
25,33,12.0,AUS200,AUS200
26,34,16.0,ESP35,ESP35
27,35,15.0,ITA40,ITA40
28,36,13.0,JPN225,JPN225
29,37,14.0,SUI30,SUI30
30,39,27.0,USD/HKD,USDHKD
31,43,18.0,EUSTX50,EUSTX50
32,44,15.0,USD/RUB,USDRUB
33,45,15.0,USD/CNH,USDCNH
34,46,15.0,AUD/CHF,AUDCHF
35,47,13.0,AUD/CAD,AUDCAD
36,48,21.0,AUD/NZD,AUDNZD
37,49,23.0,EUR/NZD,EURNZD
38,50,21.0,GBP/AUD,GBPAUD
39,51,23.0,GBP/CHF,GBPCHF
40,52,13.0,GBP/NZD,GBPNZD
41,53,10.0,NZD/CAD,NZDCAD
42,54,21.0,NZD/CHF,NZDCHF
43,55,12.0,NZD/JPY,NZDJPY
44,56,14.0,CAD/CHF,CADCHF
45,1001,29.0,Apple,AAPL
46,1002,29.0,Alphabet,GOOG
47,1003,29.0,Facebook,FB
48,1004,27.0,Microsoft,MSFT
49,1005,27.0,Amazon,AMZN
50,1006,27.0,Altaba Inc,AABA
51,1007,30.0,Zynga,ZNGA
52,1008,29.0,Alcoa,AA
53,1009,28.0,American Express CO,AXP
54,1010,28.0,Boeing,BA
55,1011,29.0,Bank of America Corp,BAC
56,1012,30.0,Caterpillar,CAT
57,1013,26.0,Cisco,CSCO
58,1014,29.0,Chevron,CVX
59,1015,23.0,Du-Pont,DDOld
60,1016,28.0,Walt Disney,DIS
61,1017,27.0,General Electric Co,GE
62,1018,27.0,Home Depot Inc,HD
63,1019,28.0,Hewlett Packard,HPQ
64,1020,29.0,IBM,IBM
65,1021,26.0,Intel,INTC
66,1022,27.0,Johnson & Johnson,JNJ
67,1023,26.0,JPMorgan Chase & Co,JPM
68,1024,28.0,Coca-Cola,KO
69,1025,27.0,McDonalds,MCD
70,1026,30.0,3M,MMM
71,1027,27.0,Merck,MRK
72,1028,28.0,Pfizer,PFE
73,1029,28.0,Procter & Gamble Co,PG
