,InstrumentID,days,InstrumentDisplayName,Symbol
0,1,51.0,EUR/USD,EURUSD
1,2,49.0,GBP/USD,GBPUSD
2,3,33.0,NZD/USD,NZDUSD
3,4,33.0,USD/CAD,USDCAD
4,5,31.0,USD/JPY,USDJPY
5,6,36.0,USD/CHF,USDCHF
6,7,37.0,AUD/USD,AUDUSD
7,8,34.0,EUR/GBP,EURGBP
8,9,28.0,EUR/CHF,EURCHF
9,10,26.0,EUR/JPY,EURJPY
10,11,24.0,GBP/JPY,GBPJPY
11,12,25.0,EUR/AUD,EURAUD
12,13,21.0,EUR/CAD,EURCAD
13,14,19.0,AUD/JPY,AUDJPY
14,15,17.0,CAD/JPY,CADJPY
15,16,26.0,CHF/JPY,CHFJPY
16,17,25.0,Oil,OIL
17,18,42.0,Gold,GOLD
18,19,39.0,Silver,SILVER
19,27,32.0,SPX500,SPX500
20,28,28.0,NSDQ100 NAS,NSDQ100
21,29,27.0,DJ30,DJ30
22,30,20.0,UK100,UK100
23,31,20.0,FRA40,FRA40
24,32,38.0,GER30,GER30
25,33,24.0,AUS200,AUS200
26,34,18.0,ESP35,ESP35
27,35,5.0,ITA40,ITA40
28,36,4.0,JPN225,JPN225
29,37,12.0,SUI30,SUI30
30,39,37.0,USD/HKD,USDHKD
31,43,23.0,EUSTX50,EUSTX50
32,44,14.0,USD/RUB,USDRUB
33,45,16.0,USD/CNH,USDCNH
34,46,23.0,AUD/CHF,AUDCHF
35,47,12.0,AUD/CAD,AUDCAD
36,48,19.0,AUD/NZD,AUDNZD
37,49,17.0,EUR/NZD,EURNZD
38,50,22.0,GBP/AUD,GBPAUD
39,51,28.0,GBP/CHF,GBPCHF
40,52,20.0,GBP/NZD,GBPNZD
41,53,12.0,NZD/CAD,NZDCAD
42,54,12.0,NZD/CHF,NZDCHF
43,55,13.0,NZD/JPY,NZDJPY
44,56,16.0,CAD/CHF,CADCHF
45,1001,69.0,Apple,AAPL
46,1002,80.0,Alphabet,GOOG
47,1003,84.0,Facebook,FB
48,1004,44.0,Microsoft,MSFT
49,1005,37.0,Amazon,AMZN
50,1006,53.0,Altaba Inc,AABA
51,1007,75.0,Zynga,ZNGA
52,1008,44.0,Alcoa,AA
53,1009,55.0,American Express CO,AXP
54,1010,24.0,Boeing,BA
55,1011,46.0,Bank of America Corp,BAC
56,1012,63.0,Caterpillar,CAT
57,1013,40.0,Cisco,CSCO
