,Open,High,Low,Close,gm_week,gm_2_weeks,gm_3_weeks,gm_4_weeks,gm_5_weeks,gm_6_weeks,pr_week,pr_2_weeks,pr_3_weeks,pr_4_weeks,pr_5_weeks,pr_6_weeks
2019-11-24,35.29059831863452,36.047794191734724,33.33077239123496,34.14739436265836,-0.1520326035305941,0.19534204027980007,0.9066949811030511,1.3368644135101526,1.3285992528666135,0.8668608040974357,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.47619047619047616
2019-11-25,34.14739436265836,34.65859194894997,31.4023874959282,34.231741339944826,2.8545835764213434,3.243402274284879,3.925532446486746,4.495644919007891,4.649500182902555,4.1721043963801385,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-11-26,34.231741339944826,34.83668167882193,33.76959807277657,30.85864208405723,2.6363499688416336,3.006610624776851,3.6811933645541917,4.246967748326247,4.398683913697088,3.921291097058144,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-11-27,30.85864208405723,32.97946765235685,30.431202832529728,32.75463723302155,12.293789290642486,13.485294510336242,14.49387196102785,15.251618742321881,15.497995919927487,15.020471677749425,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-11-28,32.75463723302155,34.92614824266606,31.03302013621896,34.66655729866257,6.620612895901723,7.3296853383160165,8.142060581901877,8.787034894452074,8.977804306663796,8.500357269243786,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-11-29,34.66655729866257,35.844853697127185,32.72047524208646,33.059466098305165,1.528184943197064,1.80421000802653,2.4404677586372436,2.984213829340554,3.1250678997444714,2.647690163830463,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-11-30,33.059466098305165,34.14191064074081,30.713820754909566,31.36644842170787,5.769227628948936,6.405900390780173,7.1888311650157855,7.81688148089712,7.999305721217387,7.521870270074449,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-01,31.36644842170787,32.129298702510226,29.76897901416612,28.965274544535912,10.70708999465213,11.763666261884342,12.71736900355489,13.443575077436986,13.67439962701502,13.196896977808304,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-02,28.965274544535912,30.012938170959448,28.890139210284122,29.58967206944511,18.70026431092868,20.43656019489182,21.666700391263838,22.55179628947466,22.860968933877345,22.383357507674084,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-03,29.58967206944511,30.938344285878916,29.228428755955658,27.64655953905812,16.496921656530894,18.04585077413632,19.19979015076936,20.041087588763883,20.328663344072552,19.851081902577118,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-04,27.64655953905812,33.06705297399661,26.81410934350829,30.49668366670048,23.680740587332426,25.84056375742525,27.24294968879226,28.227048432345757,28.58503908222856,28.107359878040093,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-05,30.49668366670048,32.88219707785718,29.603885216410685,28.12305412656491,13.45702553313599,14.747449462922813,15.796256496176708,16.577126306558966,16.834905380310495,16.357365307957885,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-06,28.12305412656491,28.43576643917678,25.64092237727647,27.377854056905054,21.827238556639173,23.829444534855316,25.16772860088381,26.114983082020828,26.454805936843417,25.977151956474167,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-07,27.377854056905054,30.610099375040775,25.67588139472916,28.651719160564173,24.754420183491632,27.0055463897396,28.445064659647336,29.45050620840799,29.81902093139148,29.34132711578119,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-08,28.651719160564173,32.27384061982112,27.23797548075315,29.558378677489948,19.842944236762094,21.67641077289677,22.94606962828172,23.853879933247057,24.174252983351032,23.69662600671869,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-09,29.558378677489948,29.599132216765295,27.20459642610833,29.06969228160841,16.605132442019666,18.163263535051644,19.3209452939884,20.16439376635506,20.453030190247578,19.97544727614016,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-10,29.06969228160841,31.69373703918991,27.121630565296016,30.492640593280424,18.325209393750463,20.029611542575275,21.246780768644925,22.124421254581982,22.429917657600097,21.95231133542006,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-11,30.492640593280424,30.918379309681093,29.708152424699406,28.85003526236291,13.470174833581439,14.761716947096716,15.810978738248105,16.59210993290088,16.850017894450573,16.37247764315264,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-12,28.85003526236291,29.504176810661846,28.396356882850228,28.281936951038745,19.11734032778267,20.889103316441137,22.133667748786756,23.027054362604147,23.340315133954203,22.862698031873684,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-13,28.281936951038745,33.85656772308181,28.17955500853034,32.27053633955483,21.223089655735894,23.173920317573106,24.491310383568845,25.426555479080726,25.760456541946432,25.282810783279896,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-14,32.27053633955483,34.406870741754005,29.93911565625998,29.90442634935545,8.005758976060328,8.832620787937607,9.69290018594795,10.36540869312943,10.569755133958282,10.092289246451402,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-15,29.90442634935545,32.89286495944673,27.997688738659615,31.91768011532986,15.421113861426306,16.87855896614394,17.995292402200768,18.815204730248738,19.09223555211681,18.614668751005283,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-16,31.91768011532986,36.5398413423297,31.408933148029636,33.962394287155796,9.041852482359625,9.956821103013102,10.852932955112538,11.546037124128738,11.76053922390694,11.28305923647741,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
2019-12-17,33.962394287155796,34.87379338483609,33.02923196640296,30.427624253350846,3.3370362376624163,3.7668815070748707,4.465696913504136,5.045399670880624,5.203983875413343,4.726581523320195,0.5714285714285714,0.42857142857142855,0.3333333333333333,0.35714285714285715,0.45714285714285713,0.4523809523809524
